Arbitro,fecha,Estadio,Ciudad,Temporada,Ronda,Equipo de casa,Equipo visita,home_win,away_win,home_goals,away_goals,home_goals_half_time,away_goals_half_time,home_goals_fulltime,away_goals_fulltime,home_goals_extra_time,away_goals_extratime,home_goals_penalty,away_goals_penalty
L. Santander,2022-07-02T22:00:00+00:00,Estadio Victoria de Aguascalientes,Aguascalientes,2022,Apertura - 1,Necaxa,Toluca,False,True,1.0,3.0,1.0,2.0,1.0,3.0,,,,
D. Quintero,2022-07-02T02:05:00+00:00,Estadio de Mazatlán,Mazatlán,2022,Apertura - 1,Mazatlán,Puebla,False,True,2.0,4.0,0.0,2.0,2.0,4.0,,,,
I. Lopez,2022-07-02T22:00:00+00:00,Estadio AKRON,Zapopan,2022,Apertura - 1,Guadalajara Chivas,FC Juarez,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Ó. Mejía,2022-07-03T00:05:00+00:00,Estadio Universitario de Nuevo León,San Nicolás de los Garza,2022,Apertura - 1,Tigres UANL,Cruz Azul,False,True,2.0,3.0,0.0,1.0,2.0,3.0,,,,
F. Guerrero,2022-07-03T02:05:00+00:00,Estadio Azteca,D.F.,2022,Apertura - 1,Club America,Atlas,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
A. Escobedo,2022-07-03T17:00:00+00:00,Estadio Olímpico de Universitario,D.F.,2022,Apertura - 1,U.N.A.M. - Pumas,Club Tijuana,,,1.0,1.0,0.0,1.0,1.0,1.0,,,,
F. Hernández,2022-07-03T22:00:00+00:00,Estadio Alfonso Lastras Ramírez,San Luis Potosí,2022,Apertura - 1,Atletico San Luis,Leon,False,True,1.0,2.0,0.0,1.0,1.0,2.0,,,,
J. Pérez,2022-07-04T00:05:00+00:00,Estadio Nuevo Corona,Torreón,2022,Apertura - 1,Santos Laguna,Monterrey,True,False,4.0,3.0,2.0,2.0,4.0,3.0,,,,
C. Ramos,2022-07-05T02:00:00+00:00,Estadio Hidalgo,Pachuca de Soto,2022,Apertura - 1,Pachuca,Club Queretaro,True,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
A. Escobedo,2022-07-09T00:00:00+00:00,Estadio de Mazatlán,Mazatlán,2022,Apertura - 2,Mazatlán,Tigres UANL,False,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
C. Ramos,2022-07-09T02:05:00+00:00,Estadio Cuauhtémoc,Puebla,2022,Apertura - 2,Puebla,Santos Laguna,True,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
Ó. Macías,2022-07-09T02:05:00+00:00,Estadio Caliente,Tijuana,2022,Apertura - 2,Club Tijuana,FC Juarez,False,True,0.0,2.0,0.0,0.0,0.0,2.0,,,,
Ó. Mejía,2022-07-10T00:05:00+00:00,Estadio AKRON,Zapopan,2022,Apertura - 2,Guadalajara Chivas,Atletico San Luis,False,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
V. Cáceres,2022-07-10T02:05:00+00:00,Estadio Azteca,D.F.,2022,Apertura - 2,Cruz Azul,Pachuca,False,True,1.0,2.0,0.0,2.0,1.0,2.0,,,,
M. Ortíz,2022-07-10T02:05:00+00:00,Estadio BBVA,Guadalupe,2022,Apertura - 2,Monterrey,Club America,True,False,3.0,2.0,1.0,2.0,3.0,2.0,,,,
F. Hernández,2022-07-10T17:00:00+00:00,Estadio Nemesio Díez,Toluca de Lerdo,2022,Apertura - 2,Toluca,Atlas,True,False,3.0,2.0,3.0,1.0,3.0,2.0,,,,
F. Guerrero,2022-07-10T22:00:00+00:00,Estadio La Corregidora,Santiago de Querétaro,2022,Apertura - 2,Club Queretaro,Necaxa,False,True,1.0,2.0,1.0,1.0,1.0,2.0,,,,
J. Lopez,2022-07-10T00:00:00+00:00,Estadio León,León de los Aldamas,2022,Apertura - 2,Leon,U.N.A.M. - Pumas,,,3.0,3.0,0.0,2.0,3.0,3.0,,,,
A. Escobedo,2022-07-14T02:00:00+00:00,Estadio Azteca,D.F.,2022,Apertura - 3,Club America,Toluca,True,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
E. Miranda,2022-07-16T00:00:00+00:00,Estadio Cuauhtémoc,Puebla,2022,Apertura - 3,Puebla,Leon,,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
